,Feature,importance
532,532,0.00060075603
139,139,0.0005997404
403,403,0.00059962453
137,137,0.0005986522
394,394,0.0005966544
542,542,0.00058998103
335,335,0.0005896557
383,383,0.00058622303
308,308,0.0005861618
317,317,0.00058567204
504,504,0.0005692107
295,295,0.00056359195
178,178,0.00056207035
318,318,0.0005604595
407,407,0.00055984507
559,559,0.00055385416
235,235,0.0005490744
478,478,0.0005419221
454,454,0.00054126803
604,604,0.00054098805
49,49,0.0005408292
107,107,0.000539213
468,468,0.00053887576
104,104,0.0005293406
586,586,0.0005292328
321,321,0.00052698964
290,290,0.00052343274
613,613,0.0005210233
345,345,0.00051667535
595,595,0.00051630643
152,152,0.0005127145
28,28,0.00049632473
470,470,0.00049343955
259,259,0.00049277267
244,244,0.000492705
226,226,0.00049260614
325,325,0.0004922829
488,488,0.00048580376
551,551,0.00048547186
521,521,0.000485041
83,83,0.00048377382
497,497,0.00048266564
425,425,0.00048009763
271,271,0.00047298704
242,242,0.0004682905
29,29,0.0004510568
286,286,0.00044796616
214,214,0.0004448713
429,429,0.00044479067
348,348,0.00044275794
207,207,0.00043591365
187,187,0.00043540713
249,249,0.0004311487
146,146,0.0004284045
520,520,0.00041954505
370,370,0.00041677177
385,385,0.0004100731
587,587,0.00041002495
371,371,0.00040653505
298,298,0.00039739965
372,372,0.00039196888
97,97,0.00038822604
530,530,0.00038751634
245,245,0.00038597538
479,479,0.00038403142
289,289,0.00038208184
451,451,0.00037837258
48,48,0.00036942665
596,596,0.00036297328
461,461,0.000346621
200,200,0.00034523397
236,236,0.00033936894
615,615,0.00033777548
375,375,0.00033561242
423,423,0.0003336633
422,422,0.00032661186
304,304,0.00032198284
558,558,0.00032159567
562,562,0.00030575873
87,87,0.00030569558
179,179,0.00030045497
402,402,0.0002985738
191,191,0.00029524212
602,602,0.00029147012
202,202,0.000288337
424,424,0.00027727886
578,578,0.00027321445
618,618,0.00027176208
293,293,0.00026626882
209,209,0.0002649541
481,481,0.0002625889
413,413,0.00025447056
569,569,0.00025387653
456,456,0.0002478827
612,612,0.0002452449
269,269,0.00024493775
95,95,0.0002395685
262,262,0.00023363259
609,609,0.00022908306
505,505,0.00022734258
90,90,0.00022388082
82,82,0.00022077821
535,535,0.00021853788
601,601,0.00019040825
145,145,0.00018500356
89,89,0.00017293694
91,91,0.0001676798
122,122,0.00016736289
350,350,0.0001365606
213,213,0.00012345922
113,113,0.000114045404
98,98,0.000110433495
92,92,0.00010996606
86,86,0.00010300726
619,619,9.765811e-05
131,131,9.753451e-05
88,88,9.3159484e-05
144,144,8.363243e-05
605,605,6.819284e-05
103,103,5.7757923e-05
617,617,5.2195308e-05
188,188,4.0552753e-05
147,147,2.3207567e-05
109,109,2.1258342e-05
118,118,1.6751153e-05
106,106,8.266422e-06
158,158,1.1465435e-06
644,644,0.0
645,645,0.0
643,643,0.0
646,646,0.0
642,642,0.0
630,630,0.0
641,641,0.0
629,629,0.0
628,628,0.0
627,627,0.0
631,631,0.0
632,632,0.0
626,626,0.0
633,633,0.0
625,625,0.0
624,624,0.0
623,623,0.0
634,634,0.0
622,622,0.0
635,635,0.0
636,636,0.0
621,621,0.0
637,637,0.0
638,638,0.0
639,639,0.0
640,640,0.0
0,0,0.0
1,1,0.0
55,55,0.0
26,26,0.0
25,25,0.0
24,24,0.0
23,23,0.0
22,22,0.0
21,21,0.0
20,20,0.0
19,19,0.0
18,18,0.0
17,17,0.0
16,16,0.0
15,15,0.0
14,14,0.0
13,13,0.0
12,12,0.0
11,11,0.0
10,10,0.0
9,9,0.0
8,8,0.0
7,7,0.0
6,6,0.0
5,5,0.0
4,4,0.0
3,3,0.0
2,2,0.0
54,54,0.0
57,57,0.0
132,132,0.0
58,58,0.0
130,130,0.0
129,129,0.0
120,120,0.0
111,111,0.0
80,80,0.0
79,79,0.0
78,78,0.0
77,77,0.0
76,76,0.0
75,75,0.0
74,74,0.0
73,73,0.0
72,72,0.0
71,71,0.0
70,70,0.0
69,69,0.0
68,68,0.0
67,67,0.0
66,66,0.0
64,64,0.0
63,63,0.0
62,62,0.0
61,61,0.0
60,60,0.0
59,59,0.0
647,647,0.0
