,Feature,importance
468,468,0.0006830758
423,423,0.0006819929
386,386,0.00067666936
235,235,0.000676401
598,598,0.0006709824
316,316,0.00067078834
277,277,0.0006681971
396,396,0.00066617393
425,425,0.000665195
228,228,0.00065874105
112,112,0.0006557364
406,406,0.0006465749
419,419,0.000638969
343,343,0.00063654775
583,583,0.0006334486
98,98,0.00063155574
286,286,0.0006300575
308,308,0.0006243673
476,476,0.0006236792
115,115,0.00062199123
345,345,0.0006209721
244,244,0.00061842584
335,335,0.0006173834
618,618,0.0006171771
614,614,0.0006161023
542,542,0.0006119207
497,497,0.00061002595
416,416,0.0006060753
492,492,0.0006039264
90,90,0.00060185674
422,422,0.00060053845
169,169,0.0005890467
560,560,0.0005865363
611,611,0.0005790332
48,48,0.00057563017
356,356,0.00056783546
319,319,0.00056748255
117,117,0.00056506426
325,325,0.00056386634
549,549,0.00055992266
604,604,0.000553399
95,95,0.00055169617
532,532,0.0005468841
502,502,0.0005371925
591,591,0.00053560274
344,344,0.00053435925
412,412,0.0005243961
270,270,0.0005236036
271,271,0.00052323914
551,551,0.0005219728
442,442,0.00052020344
467,467,0.0005192152
429,429,0.00051838154
586,586,0.0005167706
86,86,0.0005156374
488,488,0.00051510124
456,456,0.00051304646
254,254,0.0005037519
252,252,0.00050011114
236,236,0.000498794
529,529,0.0004945034
559,559,0.00049404637
191,191,0.00048192497
317,317,0.00048105916
28,28,0.00046766692
226,226,0.00046727038
478,478,0.00046223632
397,397,0.00045777782
452,452,0.00044776412
367,367,0.00044756572
603,603,0.00044688914
596,596,0.00043417278
612,612,0.00043018442
562,562,0.00042766644
192,192,0.0004203943
613,613,0.00041511474
293,293,0.00041428747
137,137,0.00040575012
290,290,0.00040242323
371,371,0.00039791435
196,196,0.00038619363
38,38,0.0003818102
370,370,0.00038173585
615,615,0.00038020645
504,504,0.00037678692
262,262,0.00037661
587,587,0.00036716956
451,451,0.0003613079
369,369,0.00035879065
259,259,0.00035252597
349,349,0.00035019356
470,470,0.00034543205
558,558,0.0003396267
289,289,0.0003018601
461,461,0.0003003677
609,609,0.0002890948
569,569,0.00028165506
213,213,0.00028061192
424,424,0.00026207452
123,123,0.00025767263
144,144,0.00023765715
348,348,0.00023479153
402,402,0.00023291109
602,602,0.00023202157
82,82,0.0002260737
258,258,0.00022183644
207,207,0.0002115197
83,83,0.00020025633
322,322,0.00019696678
113,113,0.00018690151
306,306,0.00018496285
91,91,0.00018241949
505,505,0.00018116091
269,269,0.00017952325
578,578,0.0001750785
479,479,0.0001697066
146,146,0.0001591635
619,619,0.00014932583
295,295,0.00014683798
142,142,0.000145652
122,122,0.00013734792
321,321,0.0001282673
605,605,0.00012481472
238,238,0.00012475136
88,88,0.00012413682
121,121,0.00012371433
151,151,0.00012360033
103,103,0.00010427048
97,97,9.3636474e-05
92,92,8.5169784e-05
106,106,6.4450855e-05
350,350,6.364526e-05
131,131,5.6375527e-05
118,118,5.6125464e-05
109,109,4.747843e-05
188,188,4.1924246e-05
104,104,6.2491176e-06
132,132,2.746993e-06
157,157,4.0584595e-07
156,156,2.525313e-07
626,626,0.0
628,628,0.0
646,646,0.0
645,645,0.0
621,621,0.0
644,644,0.0
622,622,0.0
643,643,0.0
642,642,0.0
641,641,0.0
623,623,0.0
640,640,0.0
639,639,0.0
638,638,0.0
637,637,0.0
636,636,0.0
635,635,0.0
634,634,0.0
633,633,0.0
624,624,0.0
625,625,0.0
632,632,0.0
631,631,0.0
630,630,0.0
629,629,0.0
627,627,0.0
0,0,0.0
1,1,0.0
14,14,0.0
25,25,0.0
24,24,0.0
23,23,0.0
22,22,0.0
21,21,0.0
20,20,0.0
19,19,0.0
18,18,0.0
17,17,0.0
16,16,0.0
15,15,0.0
13,13,0.0
54,54,0.0
12,12,0.0
11,11,0.0
10,10,0.0
9,9,0.0
8,8,0.0
7,7,0.0
6,6,0.0
5,5,0.0
4,4,0.0
3,3,0.0
2,2,0.0
26,26,0.0
55,55,0.0
130,130,0.0
71,71,0.0
129,129,0.0
120,120,0.0
111,111,0.0
80,80,0.0
79,79,0.0
78,78,0.0
77,77,0.0
76,76,0.0
75,75,0.0
73,73,0.0
72,72,0.0
70,70,0.0
57,57,0.0
69,69,0.0
68,68,0.0
67,67,0.0
66,66,0.0
64,64,0.0
63,63,0.0
62,62,0.0
61,61,0.0
60,60,0.0
59,59,0.0
58,58,0.0
647,647,0.0
